CustomerName	OrderDate	OrderValue
Dennie Bransom	2021-06-28T18:58:36Z	320.27
Zabrina Deniskevich	2021-09-05T04:49:06Z	610.09
Blaire Dunleavy	2021-12-06T03:40:42Z	1613.22
Blaire Dunleavy	2021-11-09T05:35:11Z	4110.6
Lenard Emlen	2021-07-30T10:25:13Z	1590.66
Pierson Stutt	2022-01-18T05:56:13Z	1984.09
Van Prosch	2021-07-15T06:24:03Z	1073.94
Cori Keohane	2022-03-18T21:11:52Z	1822.85
Malina Bruin	2022-01-18T21:51:41Z	2450.4
Bee Skoggings	2021-05-17T05:28:46Z	1752.29
Elizabeth Fagg	2021-06-05T12:09:07Z	3640.58
Jarrett Olney	2021-06-23T15:24:54Z	1515.42
Chandra O'Donoghue	2022-01-14T04:02:26Z	377.48
Lenard Emlen	2021-10-02T07:11:39Z	4414.53
Lenard Emlen	2021-07-26T18:51:09Z	1749.32
Burlie Poulett	2021-10-18T23:59:34Z	2669.14
Van Prosch	2021-06-20T22:29:41Z	914.95
Rip Hardware	2022-03-11T10:44:53Z	2462.07
Dennie Bransom	2021-05-30T18:39:52Z	4922.99
Pierson Stutt	2021-08-24T14:16:31Z	3862.41
Laraine Ickovic	2021-10-21T10:22:52Z	2992.46
Aland Pettendrich	2021-07-03T03:47:56Z	1521.69
Vernon Speller	2022-04-28T11:19:04Z	1998.11
Van Prosch	2021-09-29T17:19:22Z	811.33
Jarrett Olney	2021-06-20T06:41:02Z	2264.67
Raviv Extence	2021-07-16T18:14:37Z	1402.06
Laraine Ickovic	2022-03-30T20:50:21Z	1821.63
Raviv Extence	2022-01-24T07:35:05Z	4668.07
Van Prosch	2021-11-23T03:04:04Z	2624.08
Zabrina Deniskevich	2021-06-29T23:33:02Z	1794.29
Nola Girardy	2021-12-27T12:00:33Z	3870.54
Nola Girardy	2021-09-28T09:18:19Z	2650.81
Laraine Ickovic	2022-02-13T22:09:20Z	4669.4
Chandra O'Donoghue	2022-03-10T13:21:44Z	3250.84
Aland Pettendrich	2021-11-18T06:53:46Z	1972.55
Chandra O'Donoghue	2021-10-05T22:32:47Z	2760.63
De witt Standbridge	2021-06-22T12:28:21Z	4997.78
Chandra O'Donoghue	2021-08-30T15:27:17Z	1177.48
Elizabeth Fagg	2021-06-02T10:47:48Z	3846.27
Chandra O'Donoghue	2021-05-23T02:12:29Z	4433.68
Zabrina Deniskevich	2021-11-05T23:46:56Z	4752.34
Vernon Speller	2022-01-29T11:33:28Z	4621.06
Aland Pettendrich	2021-06-12T06:30:01Z	2774.95
Cori Keohane	2021-10-08T19:57:30Z	1324.64
Cori Keohane	2021-05-11T02:37:51Z	761.67
Burlie Poulett	2021-10-06T21:00:38Z	1130.99
Vernon Speller	2021-11-06T07:31:44Z	1916.16
Pierson Stutt	2022-05-02T13:22:00Z	615.22
Jaquenette Skinner	2021-11-12T14:30:38Z	283.6
Aland Pettendrich	2021-05-09T00:43:06Z	3641.03
Aland Pettendrich	2021-11-12T23:32:26Z	2054.95
Van Prosch	2021-11-13T14:47:06Z	3921.93
Cori Keohane	2021-05-10T00:25:18Z	4571.92
Nola Girardy	2021-12-23T06:21:35Z	1219.35
Lenard Emlen	2022-05-05T12:29:12Z	1720.86
Malina Bruin	2021-10-20T05:41:43Z	2615.31
